2021.02.26 16:56:20  Logdatei für Schaltvorgänge der Relais initialisiert
2021.02.26 16:56:20 -----------------------------------------------------------------------------------
2021.02.26 16:57:07 Neustart Entladesteuerung   >> V1.7 build 2021.02.26 buster <<   Initialisierung :
2021.02.26 17:01:30 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.26 17:01:31 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.26 17:02:25 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.26 17:02:26 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 04:31:18 ............ neuer Tag .........................................
2021.02.27 04:31:18 Kessel Nachttarif-Ladung               HK2 GPIO 26 eingeschaltet             
2021.02.27 04:46:15 Boiler Nachttarif-Ladung               BK1 GPIO 19 eingeschaltet             
2021.02.27 05:16:08 Boiler Nacht(BK1)- / Direktladung(DK1) KK1 GPIO 19 ausgeschaltet             
2021.02.27 05:22:46 Kessel Nacht(HK2)- / Direktladung(DK2) KK2 GPIO 26 ausgeschaltet             
2021.02.27 08:10:16 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 08:36:14 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 08:46:17 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 08:49:04 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 09:02:21 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 09:06:03 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 09:14:21 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 09:15:17 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 09:18:36 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 09:21:23 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 09:24:42 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 09:30:18 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 09:35:17 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 09:38:59 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 09:42:19 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 09:48:48 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 09:57:39 ENDE Entladesteuerung  >> V1.7 build 2021.02.26 buster << 
2021.02.27 09:57:39 mit KeyboardInterrupt (CTRL+C oder Strg+C)
2021.02.27 09:58:22 Neustart Entladesteuerung   >> V1.7 build 2021.02.26 buster <<   Initialisierung :
2021.02.27 10:01:05 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 10:21:28 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 10:29:46 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 10:40:53 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 11:00:47 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 11:59:16 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 12:03:54 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 12:05:45 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 12:06:40 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 12:06:41 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 12:09:59 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 12:10:00 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 12:10:56 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 12:13:43 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 12:18:20 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 12:18:21 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 12:23:18 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
2021.02.27 12:23:19 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 12:26:06 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 12:27:57 boost (Mischer öffnen)                 WK2 GPIO 16 eingeschaltet             
2021.02.27 12:31:39 Tagbetrieb                             WK1 GPIO 12 ausgeschaltet             
2021.02.27 12:31:40 boost (Mischer öffnen)                 WK2 GPIO 16 ausgeschaltet             
2021.02.27 12:34:58 Tagbetrieb                             WK1 GPIO 12 eingeschaltet             
